Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,PLLs and CCCs,Chip Globals,MSS,CAN,10/100/1000 Ethernet,HS USB,Multi-Mode UART,XTLOSC
Add_Counters_0/Primitives,29,0,0,0,0,0,0,0,0,0,0
FCCC_C0_0/FCCC_C0_0/Primitives,0,0,0,1,1,0,0,0,0,0,0
FCCC_C1_0/FCCC_C1_0/Primitives,0,0,0,1,4,0,0,0,0,0,0
Gate_Set_0/Primitives,51,33,0,0,2,0,0,0,0,0,0
OSC_C0_0/OSC_C0_0/Primitives,0,0,0,0,1,0,0,0,0,0,1
Primitives/Primitives,1,0,2,0,1,0,0,0,0,0,0
Recip_Freq_Count_0/Primitives,31,58,0,0,0,0,0,0,0,0,0
SPI_Slave_0/Primitives,33,40,0,0,0,0,0,0,0,0,0
board_deploy_MSS_0/Primitives,0,0,6,0,2,1,0,0,0,0,0
fine_counter_0/Primitives,15,13,0,0,0,0,0,0,0,0,0
