@W: CG921 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\Gate_Set.v":10:8:10:18|sample_gate is already declared in this scope.
@W: CG921 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\Recip_Freq_Counter.v":12:15:12:27|recip_counter is already declared in this scope.
@W: CG921 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\Recip_Freq_Counter.v":14:8:14:18|recip_valid is already declared in this scope.
@W: CS142 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":21:65:21:74|Range of port fine_count in port declaration and body are different.
@W: CL113 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|Feedback mux created for signal falling_error[31:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL250 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":55:4:55:9|All reachable assignments to falling_error[31:0] assign 0, register removed by optimization
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[3] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[4] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[5] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[6] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[7] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[8] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[9] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[10] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[11] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[12] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[13] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[14] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[15] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[16] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[17] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"C:\Libero\Projects\board_deploy\board_deploy\hdl\fine_counter.v":36:4:36:9|Optimizing register bit rising_error[18] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
